output_type,label,histone_mark,raw_score,quantile_score
CHIP_HISTONE,neuron,H2AFZ,-0.010548592,-0.7047799
CHIP_HISTONE,dorsolateral prefrontal cortex,H3K27me3,-0.0051870346,-0.7047799
CHIP_HISTONE,neuronal stem cell,H3K4me3,-0.005865097,-0.6989267
DNASE,Ammon's horn,,22.569214,0.6964799
DNASE,left renal cortex interstitium,,13.927399,0.6964799
CHIP_HISTONE,brain microvascular endothelial cell,H3K27ac,0.005801201,0.68693405
CHIP_HISTONE,astrocyte,H3K79me2,964.5,0.68663776
DNASE,right renal cortex interstitium,,14.482063,0.68165225
CHIP_HISTONE,brain,H3K36me3,-0.0061073303,-0.6807933
CHIP_HISTONE,substantia nigra,H3K36me3,1527.0,0.6766247
CHIP_HISTONE,dorsolateral prefrontal cortex,H3K4me1,1870.5,0.67155606
DNASE,renal cortical epithelial cell,,0.037231445,0.6682194
CHIP_HISTONE,brain microvascular endothelial cell,H3K36me3,1398.25,0.6664471
CHIP_HISTONE,caudate nucleus,H3K4me3,1170.0,0.6664471
CHIP_HISTONE,neuron,H3K36me3,-0.0059280396,-0.6617851
CHIP_HISTONE,spinal cord,H3K27ac,1085.25,0.66129875
CHIP_HISTONE,astrocyte,H2AFZ,1412.5,0.65611196
CHIP_HISTONE,dorsolateral prefrontal cortex,H3K27ac,1593.0,0.65611196
DNASE,astrocyte of the spinal cord,,0.027421951,0.65525186
CHIP_HISTONE,brain,H3K4me1,0.00899601,0.65525186
CHIP_HISTONE,neuron,H3K36me3,1035.5,0.65088767
CHIP_HISTONE,cingulate gyrus,H3K36me3,1512.5,0.65088767
CHIP_HISTONE,brain,H3K4me1,1929.5,0.65088767
CHIP_HISTONE,cingulate gyrus,H3K4me3,1280.75,0.65088767
CHIP_HISTONE,layer of hippocampus,H3K36me3,1477.75,0.64562684
CHIP_HISTONE,caudate nucleus,H3K36me3,1448.75,0.64562684
CHIP_HISTONE,brain,H3K9me3,-0.0064792633,-0.64188623
CHIP_HISTONE,motor neuron,H3K27ac,1620.0,0.6403306
CHIP_HISTONE,layer of hippocampus,H3K4me3,1247.25,0.6403306
CHIP_HISTONE,astrocyte,H4K20me1,1720.5,0.6403306
CHIP_HISTONE,neuronal stem cell,H3K4me1,1656.75,0.6403306
DNASE,astrocyte of the spinal cord,,8.530453,0.63499993
DNASE,smooth muscle cell of the brain vasculature,,13.08997,0.63499993
ATAC,motor neuron,,10.092892,0.63499993
CHIP_HISTONE,caudate nucleus,H3K27ac,1463.0,0.629636
CHIP_HISTONE,brain microvascular endothelial cell,H3K36me3,-0.0030965805,-0.6281189
CHIP_HISTONE,brain microvascular endothelial cell,H3K27ac,1120.5,0.6242398
DNASE,renal cortex interstitium,,11.891968,0.6188126
CHIP_HISTONE,neuronal stem cell,H3K27me3,-0.0046606064,-0.61394674
CHIP_HISTONE,cingulate gyrus,H3K27ac,1495.75,0.61335564
CHIP_HISTONE,astrocyte,H4K20me1,0.0069303513,0.60670805
CHIP_HISTONE,dorsolateral prefrontal cortex,H3K36me3,1507.75,0.602357
CHIP_HISTONE,astrocyte,H3K4me2,-0.007164955,-0.5919244
CHIP_HISTONE,substantia nigra,H3K27ac,1330.75,0.5856666
CHIP_HISTONE,astrocyte,H3K4me3,1002.75,0.5856666
CHIP_HISTONE,neuronal stem cell,H3K9me3,1264.75,0.5800571
CHIP_HISTONE,astrocyte,H3K27me3,1450.75,0.5800571
CHIP_HISTONE,brain,H3K4me3,-0.0038776398,-0.5689814
CHIP_HISTONE,caudate nucleus,H3K9ac,0.006934166,0.5689814
CHIP_HISTONE,astrocyte,H3K9ac,1116.0,0.5631096
CHIP_HISTONE,astrocyte,H2AFZ,-0.0048561096,-0.56112885
CHIP_HISTONE,layer of hippocampus,H3K9ac,0.0066184998,0.553174
CHIP_HISTONE,neuronal stem cell,H3K36me3,1071.375,0.5517262
DNASE,brain pericyte,,14.888794,0.5460134
DNASE,smooth muscle cell of the brain vasculature,,0.021338463,0.545117
CHIP_HISTONE,astrocyte,H3K27ac,653.0,0.54028845
CHIP_HISTONE,substantia nigra,H3K9ac,1411.25,0.54028845
CHIP_HISTONE,caudate nucleus,H3K9ac,1354.5,0.54028845
CHIP_HISTONE,substantia nigra,H3K4me3,0.0061626434,0.53695804
DNASE,astrocyte of the hippocampus,,9.455486,0.5345528
CHIP_HISTONE,brain,H3K9me3,1114.75,0.52880806
CHIP_HISTONE,brain,H3K36me3,1301.0,0.52880806
ATAC,motor neuron,,-0.024869919,-0.5286973
CHIP_HISTONE,astrocyte,H3K79me2,0.0052394867,0.5286973
CHIP_HISTONE,spinal cord,H3K27ac,0.007323265,0.5286973
CHIP_HISTONE,brain microvascular endothelial cell,H3K4me3,-0.0038175583,-0.5286973
CHIP_HISTONE,neuronal stem cell,H3K36me3,-0.0038728714,-0.5286973
CHIP_HISTONE,layer of hippocampus,H3K27ac,1114.75,0.5230556
DNASE,astrocyte,,-0.012511492,-0.52033526
CHIP_HISTONE,neuron,H3K27me3,-0.004377365,-0.5118722
CHIP_HISTONE,neuronal stem cell,H3K9me3,-0.0062828064,-0.5118722
DNASE,astrocyte of the cerebellum,,11.864401,0.48846605
DNASE,astrocyte,,7.4786835,0.4827029
DNASE,glutamatergic neuron,,15.947489,0.4827029
CHIP_HISTONE,astrocyte,H3K4me1,0.0065431595,0.4770201
DNASE,cerebellum,,12.419983,0.43689045
CHIP_HISTONE,neuronal stem cell,H3K27ac,1547.75,0.43689045
CHIP_HISTONE,astrocyte,H3K9ac,0.005498886,0.4312567
CHIP_HISTONE,layer of hippocampus,H3K4me3,0.004630089,0.4312567
CHIP_HISTONE,astrocyte,H3K4me2,503.625,0.43122286
CHIP_HISTONE,astrocyte of the spinal cord,H3K4me3,595.0,0.41433343
DNASE,head of caudate nucleus,,14.967334,0.40874603
CHIP_HISTONE,astrocyte,H3K4me1,772.5,0.39764303
DNASE,brain microvascular endothelial cell,,-0.014929056,-0.3929598
CHIP_HISTONE,spinal cord,H3K27me3,1008.75,0.3866444
DNASE,putamen,,0.011780739,0.3831612
CHIP_HISTONE,dorsolateral prefrontal cortex,H3K9ac,1333.75,0.38118738
CHIP_HISTONE,layer of hippocampus,H3K9ac,1255.25,0.38118738
CHIP_HISTONE,cingulate gyrus,H3K9ac,1247.5,0.3757602
CHIP_HISTONE,neuron,H3K27me3,782.875,0.3757602
CHIP_HISTONE,brain microvascular endothelial cell,H3K4me3,377.375,0.37036404
CHIP_HISTONE,brain,H3K27me3,928.5,0.3596694
CHIP_HISTONE,neuronal stem cell,H3K27ac,-0.0018644333,-0.3532494
DNASE,posterior cingulate gyrus,,13.438623,0.34388804
CHIP_HISTONE,dorsolateral prefrontal cortex,H3K4me3,-0.00121212,-0.34311208
DNASE,brain microvascular endothelial cell,,7.661272,0.33870125
CHIP_HISTONE,dorsolateral prefrontal cortex,H3K27me3,974.25,0.33870125
DNASE,frontal cortex,,9.742981,0.32337528
CHIP_HISTONE,brain,H3K4me3,744.25,0.3133622
DNASE,dorsolateral prefrontal cortex,,12.676437,0.3035201
CHIP_HISTONE,neuronal stem cell,H3K4me2,833.875,0.3035201
CHIP_HISTONE,astrocyte,H3K36me3,-0.0009698868,-0.30177534
DNASE,astrocyte of the cerebellum,,-0.0064098835,-0.30177534
CHIP_HISTONE,dorsolateral prefrontal cortex,H3K9ac,0.0035171509,0.29125375
CHIP_HISTONE,astrocyte of the cerebellum,H3K4me3,225.5,0.28909016
CHIP_HISTONE,spinal cord,H3K36me3,695.875,0.28909016
CHIP_HISTONE,neuronal stem cell,H3K27me3,1084.25,0.2750753
CHIP_HISTONE,spinal cord,H3K27me3,-0.0017871857,-0.2699999
CHIP_HISTONE,cingulate gyrus,H3K4me3,0.002817154,0.25927192
CHIP_HISTONE,neuron,H3K4me3,-0.0009832382,-0.25927192
CHIP_HISTONE,astrocyte,H3K27me3,-0.0009937286,-0.24847962
DNASE,astrocyte of the hippocampus,,0.008376837,0.23762526
CHIP_HISTONE,substantia nigra,H3K9ac,0.0030679703,0.23762526
CHIP_HISTONE,neuronal stem cell,H3K4me3,892.375,0.231521
CHIP_HISTONE,neuronal stem cell,H3K18ac,856.9375,0.21943557
CHIP_HISTONE,neuronal stem cell,H2AK5ac,992.25,0.21943557
DNASE,Ammon's horn,,0.008959293,0.21573995
CHIP_HISTONE,cerebellum,H3K4me3,0.00074863434,0.20471394
CHIP_HISTONE,spinal cord,H3K4me1,404.375,0.1894582
CHIP_HISTONE,neuronal stem cell,H2BK5ac,893.375,0.1824735
CHIP_HISTONE,astrocyte,H3K4me3,0.0,-0.16011412
CHIP_HISTONE,cerebellum,H3K4me3,240.0625,0.15960337
CHIP_HISTONE,astrocyte of the cerebellum,H3K4me3,0.0,-0.14885359
CHIP_HISTONE,astrocyte of the spinal cord,H3K4me3,0.0012111664,0.11485085
CHIP_HISTONE,cingulate gyrus,H3K9ac,0.0017347336,0.10345244
CHIP_HISTONE,astrocyte,H3K27ac,0.0,-0.092026785
DNASE,brain pericyte,,-2.0503998e-05,-0.080576845
CHIP_HISTONE,caudate nucleus,H3K4me3,0.0006160736,-0.023067882
CHIP_HISTONE,spinal cord,H3K4me3,0.0,0.011535476
